Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,600.0,606.0,600.0,606.0,600.249573,18463848
2021-11-12,610.0,611.0,602.0,604.0,598.268616,15821327
2021-11-15,609.0,611.0,607.0,608.0,602.230652,15551452
2021-11-16,612.0,612.0,608.0,610.0,604.21167,20917108
2021-11-17,615.0,615.0,608.0,610.0,604.21167,19717852
2021-11-18,613.0,614.0,607.0,613.0,607.183167,20030651
2021-11-19,622.0,623.0,617.0,618.0,612.135803,35554348
2021-11-22,618.0,618.0,615.0,615.0,609.164246,20312168
2021-11-23,615.0,615.0,611.0,612.0,606.192688,19431694
2021-11-24,612.0,612.0,602.0,603.0,597.278137,20391940
2021-11-25,605.0,607.0,601.0,603.0,597.278137,11888265
2021-11-26,598.0,601.0,592.0,596.0,590.344543,26588102
2021-11-29,594.0,598.0,591.0,593.0,587.372986,23379558
2021-11-30,597.0,600.0,591.0,596.0,590.344543,62021697
2021-12-01,596.0,603.0,594.0,600.0,594.30658,21403404
2021-12-02,605.0,615.0,602.0,615.0,609.164246,45125742
2021-12-03,614.0,614.0,606.0,608.0,602.230652,23045832
2021-12-06,603.0,609.0,600.0,600.0,594.30658,23589363
2021-12-07,602.0,607.0,597.0,607.0,601.240173,18606530
2021-12-08,614.0,614.0,602.0,602.0,596.287537,20801543
2021-12-09,606.0,608.0,602.0,608.0,602.230652,11039070
2021-12-10,605.0,608.0,602.0,605.0,599.259094,10497451
2021-12-13,609.0,610.0,601.0,601.0,595.297058,17711657
2021-12-14,598.0,600.0,597.0,599.0,593.316101,22579034
2021-12-15,597.0,601.0,596.0,600.0,594.30658,21827730
2021-12-16,605.0,605.0,601.0,605.0,602.018372,21809022
2021-12-17,601.0,607.0,599.0,607.0,604.008545,24105733
2021-12-20,607.0,607.0,598.0,598.0,595.052856,21381070
2021-12-21,597.0,600.0,595.0,597.0,594.0578,17001461
2021-12-22,598.0,601.0,598.0,600.0,597.04303,9831802
2021-12-23,607.0,608.0,602.0,606.0,603.013428,16654439
2021-12-24,606.0,609.0,604.0,604.0,601.023315,11059689
2021-12-27,604.0,610.0,604.0,606.0,603.013428,16259872
2021-12-28,610.0,615.0,610.0,615.0,611.969116,33892718
2021-12-29,615.0,619.0,614.0,616.0,612.964172,24518766
2021-12-30,619.0,620.0,615.0,615.0,611.969116,19681276
2022-01-03,619.0,632.0,618.0,631.0,627.890259,69089158
2022-01-04,645.0,656.0,644.0,656.0,652.767029,79434666
2022-01-05,669.0,669.0,646.0,650.0,646.796631,69593809
2022-01-06,638.0,646.0,636.0,644.0,640.826172,53210211
2022-01-07,643.0,646.0,632.0,634.0,630.875488,38249908
2022-01-10,628.0,645.0,627.0,643.0,639.831116,38289770
2022-01-11,646.0,651.0,639.0,651.0,647.791687,33196585
2022-01-12,657.0,660.0,650.0,660.0,656.747314,38860063
2022-01-13,658.0,662.0,655.0,661.0,657.742371,38137411
2022-01-14,673.0,673.0,661.0,672.0,668.688171,95200777
2022-01-17,685.0,688.0,678.0,683.0,679.633972,59614236
2022-01-18,678.0,681.0,662.0,662.0,658.737488,43593330
2022-01-19,652.0,660.0,651.0,654.0,650.776917,40381333
2022-01-20,650.0,657.0,646.0,651.0,647.791687,46474584
2022-01-21,644.0,646.0,637.0,641.0,637.840942,49577684
2022-01-24,639.0,655.0,637.0,653.0,649.781799,47134502
2022-01-25,643.0,645.0,638.0,641.0,637.840942,52318736
2022-01-26,635.0,641.0,635.0,636.0,632.865601,29957189
2022-02-07,644.0,644.0,631.0,635.0,631.870544,56836469
2022-02-08,645.0,645.0,628.0,628.0,624.905029,39718217
2022-02-09,635.0,637.0,630.0,633.0,629.880371,30048791
2022-02-10,639.0,649.0,637.0,649.0,645.801514,34587133
2022-02-11,646.0,650.0,642.0,650.0,646.796631,26723278
2022-02-14,640.0,641.0,635.0,637.0,633.860657,27826382
2022-02-15,633.0,639.0,633.0,633.0,629.880371,21970460
2022-02-16,645.0,646.0,640.0,646.0,642.816345,25191741
2022-02-17,644.0,646.0,641.0,645.0,641.821228,18135080
2022-02-18,638.0,639.0,636.0,637.0,633.860657,20804191
2022-02-21,633.0,636.0,632.0,632.0,628.885315,23797502
2022-02-22,628.0,630.0,625.0,627.0,623.909973,34086593
2022-02-23,624.0,629.0,623.0,625.0,621.9198,31953054
2022-02-24,618.0,619.0,604.0,604.0,601.023315,73663161
2022-02-25,600.0,609.0,600.0,604.0,601.023315,89012516
2022-03-01,599.0,610.0,599.0,604.0,601.023315,66720867
2022-03-02,601.0,605.0,600.0,601.0,598.038086,40693457
2022-03-03,603.0,607.0,601.0,602.0,599.033142,33792420
2022-03-04,595.0,597.0,592.0,595.0,592.067688,55917115
2022-03-07,580.0,581.0,575.0,576.0,573.161316,86496560
2022-03-08,561.0,570.0,561.0,563.0,560.225342,79029914
2022-03-09,567.0,573.0,567.0,568.0,565.200745,52155415
2022-03-10,585.0,589.0,582.0,587.0,584.107117,45630467
2022-03-11,581.0,582.0,574.0,575.0,572.16626,38943098
2022-03-14,574.0,577.0,572.0,572.0,569.18103,33919577
2022-03-15,562.0,563.0,558.0,558.0,555.25,74092231
2022-03-16,564.0,565.0,555.0,558.0,558.0,43438327
2022-03-17,578.0,583.0,575.0,582.0,582.0,60959900
2022-03-18,582.0,582.0,576.0,581.0,581.0,46242430
2022-03-21,583.0,589.0,583.0,586.0,586.0,21400273
2022-03-22,577.0,586.0,577.0,583.0,583.0,20246949
2022-03-23,590.0,590.0,586.0,590.0,590.0,25902069
2022-03-24,587.0,592.0,585.0,591.0,591.0,20060758
2022-03-25,597.0,598.0,595.0,598.0,598.0,26122381
2022-03-28,581.0,586.0,580.0,584.0,584.0,26391576
2022-03-29,586.0,589.0,584.0,589.0,589.0,14892032
2022-03-30,599.0,600.0,597.0,600.0,600.0,41230239
2022-03-31,602.0,602.0,594.0,597.0,597.0,22700114
2022-04-01,585.0,589.0,584.0,589.0,589.0,29732696
